cpa_id,cluster
13038,1
13051,1
13064,1
13080,1
13083,1
13084,1
13099,1
13129,1
13132,1
13134,1
13141,1
13151,1
13156,1
13159,1
13177,1
13195,1
13201,1
22039,1
22124,1
22326,1
22391,1
22418,1
22503,1
22521,1
22594,1
22615,1
22641,1
22668,1
22857,1
22863,1
22912,1
22930,1
23011,1
23018,1
23023,1
23057,1
23104,1
23146,1
23147,1
23153,1
23156,1
23170,1
23184,1
23188,1
23189,1
23201,1
23228,1
23235,1
23258,1
23273,1
23285,1
23289,1
23337,1
23341,1
23342,1
23355,1
23357,1
23358,1
23362,1
23379,1
23396,1
23426,1
23452,1
23454,1
23469,1
23502,1
23523,1
23529,1
23550,1
23572,1
23578,1
23581,1
23606,1
23634,1
23644,1
23660,1
23665,1
23672,1
23673,1
23675,1
23680,1
23686,1
23690,1
23697,1
23702,1
23716,1
23740,1
23741,1
23742,1
23759,1
23760,1
23769,1
23773,1
23793,1
23803,1
23804,1
23829,1
23847,1
23848,1
23850,1
23869,1
23885,1
23896,1
23918,1
23922,1
23926,1
23928,1
23934,1
23944,1
23957,1
23978,1
24023,1
24126,1
21170,2
21459,2
21473,2
21496,2
21829,2
21869,2
22206,2
22343,2
22721,2
22779,2
22879,2
22889,2
22920,2
22953,2
23012,2
23024,2
23212,2
23340,2
23434,2
31562,2
31576,2
31611,2
32614,2
32615,2
32616,2
32618,2
32701,2
32702,2
32703,2
32704,2
32900,2
32904,2
32905,2
32906,2
32913,2
32917,2
32919,2
32920,2
32922,2
32925,2
32926,2
32928,2
32930,2
32931,2
32937,2
32940,2
32942,2
32943,2
32946,2
32949,2
32951,2
32952,2
32953,2
32961,2
32962,2
32966,2
32967,2
32970,2
32972,2
32976,2
32981,2
32983,2
32986,2
32987,2
32991,2
32994,2
32996,2
32998,2
32999,2
33000,2
33006,2
33008,2
33019,2
33023,2
33033,2
33036,2
33039,2
33040,2
33042,2
33044,2
33047,2
33048,2
33055,2
33056,2
33063,2
33066,2
33071,2
33075,2
33077,2
33079,2
33083,2
33086,2
33087,2
33090,2
33094,2
33099,2
33101,2
33105,2
33106,2
33107,2
33109,2
33110,2
33112,2
33114,2
33115,2
33116,2
33118,2
33119,2
33123,2
33126,2
33134,2
33135,2
33136,2
33138,2
33141,2
33142,2
33143,2
33144,2
33145,2
33149,2
33150,2
33152,2
33156,2
33157,2
33158,2
33161,2
33162,2
33164,2
33166,2
33173,2
33175,2
33179,2
33184,2
33185,2
33187,2
33189,2
33190,2
33192,2
33193,2
33194,2
33198,2
33200,2
33206,2
33208,2
33212,2
33214,2
33215,2
33216,2
33218,2
33227,2
33228,2
33229,2
33234,2
33239,2
33242,2
33247,2
33261,2
33262,2
33267,2
33270,2
33271,2
33272,2
33275,2
33294,2
33739,2
33757,2
33760,2
33762,2
