cpa_id,cluster
29331,1
29333,1
29336,1
29340,1
29341,1
29343,1
29344,1
29349,1
29350,1
29352,1
29353,1
29354,1
29946,1
29948,1
29949,1
29950,1
29953,1
29955,1
29962,1
29965,1
29969,1
29971,1
29974,1
29976,1
29978,1
29982,1
29983,1
29987,1
29988,1
29990,1
29991,1
29993,1
29996,1
29997,1
30000,1
30001,1
30011,1
30013,1
30015,1
30016,1
30018,1
30022,1
30023,1
30025,1
30027,1
30028,1
30030,1
30036,1
30038,1
30041,1
30045,1
30048,1
30050,1
30516,1
30517,1
30518,1
30520,1
30523,1
30525,1
30529,1
30530,1
30531,1
30532,1
30533,1
30534,1
30535,1
30537,1
30538,1
30539,1
30540,1
30542,1
30543,1
30544,1
30545,1
30548,1
30549,1
30550,1
30551,1
30552,1
30553,1
30554,1
30555,1
30556,1
30631,1
30638,1
30639,1
30684,1
30689,1
30702,1
30712,1
30730,1
30768,1
30790,1
30794,1
30818,1
31048,1
31061,1
31063,1
31176,1
31189,1
31227,1
31239,1
31249,1
31250,1
31293,1
31323,1
31376,1
31392,1
31401,1
31410,1
31411,1
31412,1
31413,1
31414,1
31415,1
31417,1
31419,1
31420,1
31422,1
31424,1
31425,1
31427,1
31428,1
31430,1
31431,1
31433,1
31434,1
31435,1
31437,1
31438,1
31439,1
31441,1
31442,1
31443,1
31444,1
31445,1
31447,1
31448,1
31450,1
31451,1
31452,1
31453,1
31454,1
31455,1
31456,1
31457,1
31458,1
31460,1
31461,1
31462,1
31464,1
31465,1
31466,1
31467,1
31468,1
31469,1
31470,1
31471,1
31475,1
31476,1
31478,1
31479,1
31481,1
31484,1
31486,1
31487,1
31488,1
31491,1
31492,1
31694,1
31904,1
32623,1
32626,1
32631,1
32638,1
32640,1
32648,1
32654,1
32684,1
32685,1
32690,1
32692,1
32699,1
33529,1
33530,1
33531,1
33532,1
33533,1
33534,1
33535,1
33536,1
33537,1
33538,1
33539,1
33540,1
33541,1
33542,1
33543,1
33544,1
33546,1
33550,1
33551,1
33552,1
33553,1
33554,1
33555,1
33556,1
33557,1
33558,1
33559,1
33561,1
33562,1
33563,1
33564,1
33566,1
33567,1
33569,1
33570,1
33575,1
33576,1
33577,1
33578,1
33579,1
33580,1
33581,1
33582,1
33583,1
33584,1
33585,1
33586,1
33587,1
33588,1
33589,1
33590,1
33591,1
33592,1
33593,1
33594,1
33596,1
33597,1
33599,1
33600,1
33601,1
33604,1
33605,1
33606,1
33607,1
33608,1
33609,1
33612,1
33613,1
33614,1
33615,1
33616,1
33617,1
33618,1
33619,1
33620,1
33622,1
33623,1
33626,1
33629,1
33631,1
33632,1
33633,1
33634,1
33635,1
33636,1
33637,1
33638,1
33639,1
33640,1
33641,1
33642,1
33644,1
33645,1
33647,1
33648,1
33649,1
33650,1
33651,1
33652,1
33653,1
33655,1
33656,1
33657,1
33658,1
33659,1
33660,1
33661,1
33662,1
33663,1
33664,1
33665,1
33666,1
33669,1
33670,1
33671,1
33672,1
33673,1
33674,1
33675,1
33677,1
33678,1
33679,1
33680,1
33681,1
33682,1
33683,1
33684,1
33685,1
33687,1
33688,1
33690,1
33692,1
33694,1
33695,1
33696,1
33697,1
33699,1
33700,1
33701,1
33702,1
33703,1
33704,1
33705,1
33706,1
33707,1
33708,1
33709,1
33710,1
33711,1
33712,1
33713,1
33714,1
33715,1
33716,1
33717,1
33718,1
33719,1
33720,1
33721,1
33722,1
33723,1
33724,1
33725,1
33726,1
33727,1
33728,1
33729,1
33730,1
33731,1
33732,1
37041,1
37042,1
37043,1
37045,1
37046,1
37047,1
37048,1
37049,1
37050,1
37051,1
37053,1
37056,1
37058,1
37059,1
37060,1
37063,1
37064,1
37066,1
37068,1
37069,1
37070,1
37071,1
37072,1
37075,1
37076,1
37077,1
37078,1
37080,1
37081,1
37082,1
37084,1
37086,1
37087,1
37088,1
37089,1
37093,1
37094,1
37095,1
37097,1
37098,1
37099,1
37100,1
37101,1
37105,1
37107,1
37110,1
37111,1
37113,1
37117,1
37118,1
37119,1
37121,1
37122,1
37123,1
37124,1
37125,1
37126,1
37127,1
37128,1
37131,1
37132,1
