cpa_id,cluster
29951,1
29957,1
29961,1
29970,1
29999,1
30021,1
30037,1
30039,1
30040,1
30049,1
30053,1
30056,1
31423,1
31426,1
31429,1
31432,1
31463,1
31474,1
31477,1
31482,1
31489,1
37038,1
37039,1
37052,1
37055,1
37062,1
37067,1
37083,1
37085,1
37091,1
37102,1
37103,1
37106,1
37108,1
37112,1
37114,1
37116,1
37129,1
37130,1
37144,1
37147,1
37169,1
37176,1
37177,1
37179,1
37186,1
37190,1
37192,1
37842,1
37845,1
37847,1
37850,1
37852,1
37855,1
37861,1
37863,1
37865,1
37866,1
37878,1
37892,1
37897,1
37900,1
37916,1
37921,1
37922,1
37928,1
37932,1
37934,1
37935,1
37936,1
37938,1
37946,1
37950,1
37952,1
37959,1
37961,1
37963,1
37967,1
37968,1
37969,1
37972,1
37974,1
37975,1
40475,1
40482,1
40485,1
40487,1
40488,1
40494,1
40496,1
40497,1
40508,1
40514,1
40522,1
40525,1
40539,1
40541,1
40542,1
40544,1
40547,1
40548,1
40552,1
40553,1
40556,1
40558,1
40560,1
40562,1
40569,1
40577,1
40579,1
40580,1
40584,1
40585,1
40590,1
40595,1
40598,1
40604,1
40616,1
40625,1
40632,1
40642,1
40649,1
40652,1
40657,1
40660,1
40661,1
40662,1
40663,1
40668,1
40676,1
40680,1
40682,1
40684,1
40706,1
40710,1
40711,1
40712,1
40713,1
40720,1
40723,1
40727,1
40729,1
40730,1
40732,1
40736,1
40737,1
40743,1
40744,1
40746,1
40747,1
40751,1
41452,1
29952,2
29956,2
29958,2
29960,2
29964,2
29966,2
29967,2
29968,2
29972,2
29973,2
29975,2
29977,2
29979,2
29980,2
29981,2
29984,2
29985,2
29989,2
29992,2
29995,2
30006,2
30007,2
30010,2
30014,2
30017,2
30019,2
30032,2
30034,2
30035,2
30042,2
30043,2
30044,2
30046,2
30047,2
30052,2
30054,2
30055,2
30057,2
30058,2
30060,2
30062,2
31416,2
31418,2
31421,2
31436,2
31440,2
31446,2
31449,2
31459,2
31472,2
31473,2
31480,2
31483,2
31485,2
31490,2
31883,2
31892,2
32620,2
32669,2
37040,2
37044,2
37054,2
37057,2
37061,2
37065,2
37073,2
37074,2
37079,2
37090,2
37092,2
37096,2
37104,2
37109,2
37115,2
37120,2
37148,2
37151,2
37152,2
37158,2
37159,2
37163,2
37165,2
37173,2
37184,2
37194,2
37841,2
37843,2
37844,2
37854,2
37858,2
37864,2
37875,2
37876,2
37882,2
37889,2
37903,2
37914,2
37919,2
37948,2
37949,2
37971,2
40474,2
40483,2
40501,2
40518,2
40527,2
40530,2
40531,2
40557,2
40561,2
40563,2
40565,2
40568,2
40575,2
40596,2
40610,2
40620,2
40630,2
40639,2
40666,2
40679,2
40696,2
40700,2
40704,2
40705,2
40717,2
40731,2
40738,2
40741,2
40742,2
40749,2
40750,2
40798,2
41327,2
41329,2
41356,2
41366,2
41411,2
41422,2
41434,2
41439,2
41463,2
41465,2
41480,2
41486,2
41487,2
41488,2
