cpa_id,cluster
13040,1
13058,1
13067,1
13089,1
13097,1
13100,1
13104,1
13106,1
13122,1
13124,1
13127,1
13139,1
13144,1
13165,1
13185,1
13188,1
13189,1
13207,1
13256,1
13265,1
13456,1
13458,1
13459,1
13461,1
13462,1
13463,1
13464,1
13467,1
13542,1
13543,1
13545,1
13547,1
13548,1
13551,1
13552,1
13553,1
13554,1
13555,1
21107,1
21144,1
21151,1
21259,1
21359,1
21421,1
21430,1
21457,1
21485,1
21525,1
21638,1
21700,1
21746,1
21786,1
21791,1
21830,1
21977,1
22082,1
22140,1
22151,1
22162,1
22192,1
22194,1
22222,1
22250,1
22252,1
22253,1
22257,1
22278,1
22303,1
22304,1
22333,1
22420,1
22428,1
22448,1
22466,1
22508,1
22529,1
22543,1
22548,1
22556,1
22598,1
22614,1
22634,1
22636,1
22660,1
22667,1
22672,1
22682,1
22693,1
22696,1
22719,1
22722,1
22727,1
22743,1
22760,1
22811,1
22814,1
22842,1
22885,1
22908,1
22916,1
22917,1
22924,1
22929,1
22938,1
22944,1
22946,1
22954,1
22955,1
22993,1
22994,1
23019,1
23026,1
23029,1
23033,1
23043,1
23046,1
23047,1
23051,1
23058,1
23062,1
23070,1
23071,1
23089,1
23105,1
23124,1
23128,1
23130,1
23132,1
23143,1
23152,1
23160,1
23163,1
23164,1
23167,1
23175,1
23177,1
23181,1
23182,1
23186,1
23193,1
23198,1
23203,1
23204,1
23205,1
23208,1
23210,1
23224,1
23225,1
23229,1
23233,1
23234,1
23241,1
23244,1
23253,1
23259,1
23263,1
23264,1
23274,1
23275,1
23277,1
23290,1
23292,1
23294,1
23298,1
23301,1
23303,1
23304,1
23306,1
23307,1
23309,1
23311,1
23312,1
23314,1
23318,1
23319,1
23321,1
23325,1
23332,1
23335,1
23338,1
23343,1
23364,1
23368,1
23371,1
23372,1
23385,1
23386,1
23392,1
23398,1
23402,1
23407,1
23409,1
23413,1
23414,1
23419,1
23424,1
23432,1
23437,1
23443,1
23449,1
23450,1
23456,1
23465,1
23470,1
23472,1
23477,1
23479,1
23488,1
23490,1
23496,1
23499,1
23500,1
23501,1
23503,1
23507,1
23510,1
23511,1
23512,1
23518,1
23519,1
23521,1
23522,1
23525,1
23526,1
23528,1
23534,1
23539,1
23541,1
23543,1
23555,1
23557,1
23560,1
23563,1
23564,1
23577,1
23598,1
23601,1
23605,1
23612,1
23614,1
23642,1
23643,1
23649,1
23650,1
23651,1
23652,1
23662,1
23664,1
23666,1
23677,1
23678,1
23684,1
23685,1
23689,1
23696,1
23700,1
23707,1
23709,1
23713,1
23730,1
23731,1
23734,1
23735,1
23743,1
23745,1
23756,1
23765,1
23771,1
23776,1
23779,1
23783,1
23784,1
23788,1
23789,1
23794,1
23797,1
23799,1
23800,1
23805,1
23810,1
23814,1
23816,1
23817,1
23818,1
23823,1
23830,1
23832,1
23834,1
23838,1
23840,1
23841,1
23842,1
23844,1
23865,1
23872,1
23874,1
23875,1
23886,1
23887,1
23893,1
23901,1
23917,1
23920,1
23921,1
23923,1
23931,1
23932,1
23943,1
23945,1
23956,1
23961,1
23966,1
23979,1
23980,1
23989,1
23990,1
23991,1
23994,1
24005,1
24011,1
24014,1
24015,1
24019,1
24022,1
24032,1
24037,1
24044,1
24045,1
24048,1
24058,1
24067,1
24071,1
24072,1
24078,1
24081,1
24083,1
24090,1
