cpa_id,cluster
38629,1
38638,1
38685,1
38695,1
38718,1
38720,1
38727,1
38729,1
38745,1
40752,1
40753,1
40755,1
40756,1
40757,1
40758,1
40760,1
40762,1
40763,1
40764,1
40765,1
40767,1
40768,1
40769,1
40771,1
40772,1
40773,1
40774,1
40776,1
40777,1
40778,1
40781,1
40782,1
40784,1
40785,1
40789,1
40791,1
40793,1
40797,1
40800,1
40802,1
40803,1
40804,1
40805,1
40806,1
40807,1
40808,1
40810,1
40814,1
40815,1
40816,1
40818,1
40819,1
40820,1
40824,1
40825,1
40827,1
40828,1
40829,1
40831,1
40832,1
40833,1
40834,1
40835,1
40838,1
40839,1
40841,1
40842,1
40843,1
40845,1
40847,1
40848,1
40852,1
40853,1
40854,1
40855,1
40857,1
40862,1
40863,1
40865,1
40867,1
40869,1
40870,1
40871,1
40872,1
40873,1
40877,1
40881,1
40882,1
40883,1
40884,1
40885,1
40889,1
40890,1
40893,1
40895,1
40897,1
40898,1
40902,1
40903,1
40904,1
40909,1
40916,1
40917,1
40918,1
40920,1
40922,1
40924,1
40926,1
40927,1
40929,1
40931,1
40935,1
40938,1
40939,1
40940,1
40942,1
40943,1
40946,1
40950,1
40953,1
40954,1
40957,1
40958,1
40959,1
40960,1
40961,1
40962,1
40963,1
40965,1
40967,1
40969,1
40970,1
40972,1
40974,1
40975,1
40976,1
40977,1
40978,1
40979,1
40981,1
40982,1
40983,1
40984,1
40986,1
40987,1
40988,1
40991,1
40992,1
40993,1
40996,1
40997,1
41000,1
41001,1
41005,1
41008,1
41010,1
41011,1
41014,1
41017,1
41018,1
41019,1
41021,1
41022,1
41024,1
41028,1
41029,1
41030,1
41032,1
41033,1
41034,1
41035,1
41036,1
41037,1
41041,1
41043,1
41044,1
41046,1
41048,1
41049,1
41051,1
41052,1
41054,1
41055,1
41056,1
41057,1
41058,1
41059,1
41062,1
41065,1
41067,1
41068,1
41073,1
41075,1
41077,1
41082,1
41084,1
41085,1
41090,1
41092,1
41093,1
41094,1
41095,1
41096,1
41097,1
41100,1
41101,1
41102,1
41103,1
41105,1
41108,1
41110,1
41111,1
41112,1
41114,1
41118,1
41119,1
41121,1
41123,1
41124,1
41125,1
41126,1
41127,1
41128,1
41129,1
41131,1
41133,1
41134,1
41135,1
41136,1
41137,1
41138,1
41139,1
41140,1
41141,1
41142,1
41143,1
41145,1
41146,1
41148,1
41150,1
41152,1
41153,1
41156,1
41157,1
41159,1
41160,1
41162,1
41163,1
41164,1
41167,1
41168,1
41170,1
41171,1
41172,1
41173,1
41174,1
41175,1
41176,1
41177,1
41178,1
41179,1
41180,1
41181,1
41182,1
41183,1
41184,1
41185,1
41186,1
41188,1
41189,1
41190,1
41191,1
41192,1
41193,1
41194,1
41195,1
41196,1
41197,1
41198,1
41200,1
41201,1
41202,1
41203,1
41204,1
41206,1
41207,1
41208,1
41209,1
41211,1
41212,1
41213,1
41216,1
41217,1
41218,1
41219,1
41220,1
41222,1
41223,1
41224,1
41225,1
41226,1
41227,1
41228,1
41229,1
41230,1
41231,1
41232,1
41234,1
41235,1
41236,1
41238,1
41241,1
41243,1
41244,1
41245,1
41246,1
41248,1
41249,1
41250,1
41252,1
41253,1
41254,1
41255,1
41256,1
41257,1
41260,1
41262,1
41263,1
41264,1
41266,1
41267,1
41268,1
41269,1
41270,1
41271,1
41272,1
41273,1
41274,1
41276,1
41277,1
41279,1
41281,1
41284,1
41285,1
41290,1
41292,1
41293,1
41295,1
41298,1
41299,1
41303,1
41308,1
41310,1
41315,1
41360,1
41370,1
41387,1
41391,1
41418,1
41419,1
41433,1
41435,1
41441,1
32613,2
32735,2
32736,2
32738,2
32739,2
32740,2
32845,2
32848,2
32849,2
32861,2
32863,2
32864,2
32881,2
32883,2
38040,2
38045,2
38047,2
38048,2
38053,2
38063,2
38068,2
38070,2
38074,2
38075,2
38076,2
38079,2
38080,2
38084,2
38086,2
38087,2
38090,2
38091,2
38094,2
38096,2
38098,2
38104,2
38105,2
38106,2
38112,2
38116,2
38119,2
38126,2
38128,2
38133,2
38134,2
38138,2
38143,2
38144,2
38145,2
38146,2
38147,2
38148,2
38149,2
38150,2
38152,2
38153,2
38154,2
38158,2
38160,2
38162,2
38163,2
38165,2
38171,2
38177,2
38181,2
38183,2
38188,2
38189,2
38190,2
38192,2
38194,2
38195,2
38197,2
38198,2
38199,2
38202,2
38205,2
38207,2
38211,2
38212,2
38214,2
38217,2
38218,2
38223,2
38224,2
38225,2
38227,2
38231,2
38232,2
38234,2
38236,2
38238,2
38240,2
38242,2
38246,2
38251,2
38252,2
38257,2
38259,2
38261,2
38262,2
38267,2
38268,2
38273,2
38274,2
38276,2
38280,2
38282,2
38283,2
38288,2
38295,2
38297,2
38305,2
38308,2
38311,2
38312,2
38313,2
38317,2
38318,2
38320,2
38322,2
38329,2
38330,2
38331,2
38334,2
38340,2
38341,2
38342,2
38344,2
38347,2
38349,2
