cpa_id,cluster
23542,1
23547,1
23579,1
23580,1
23588,1
23597,1
23603,1
23604,1
23609,1
23619,1
23622,1
23636,1
23640,1
23647,1
23682,1
23708,1
23745,1
23759,1
23761,1
23762,1
23807,1
23818,1
23958,1
23967,1
23968,1
23969,1
23970,1
23972,1
32562,1
32564,1
32566,1
32606,1
32607,1
32608,1
32633,1
32634,1
32637,1
32638,1
32665,1
32668,1
32669,1
32699,1
33772,1
33787,1
33801,1
33812,1
33814,1
33815,1
34033,1
34034,1
34035,1
34038,1
34039,1
34041,1
34043,1
34044,1
34045,1
34048,1
34051,1
34052,1
34055,1
34057,1
34058,1
34059,1
34062,1
34063,1
34068,1
34072,1
34073,1
34074,1
34075,1
34076,1
34078,1
34080,1
34086,1
34088,1
34089,1
34090,1
34091,1
34093,1
34095,1
34096,1
34097,1
34098,1
34099,1
34100,1
34101,1
34102,1
34103,1
34107,1
34108,1
34109,1
34110,1
34111,1
34112,1
34113,1
34114,1
34115,1
34116,1
34117,1
34118,1
34119,1
34120,1
34121,1
34122,1
34123,1
34124,1
34125,1
34126,1
34127,1
34128,1
34129,1
34130,1
34131,1
34132,1
34133,1
34134,1
34138,1
34139,1
34140,1
34141,1
34146,1
34677,1
34679,1
34680,1
34684,1
34685,1
34688,1
34691,1
34692,1
34695,1
34696,1
34697,1
34703,1
34704,1
34706,1
34707,1
34713,1
34717,1
34720,1
34721,1
34725,1
34726,1
34733,1
34736,1
34737,1
34738,1
34745,1
34746,1
34748,1
34749,1
34755,1
34757,1
34765,1
34767,1
34768,1
34769,1
34784,1
34798,1
34919,1
34931,1
37096,1
37097,1
37103,1
37106,1
37107,1
37115,1
37118,1
37120,1
37131,1
37148,1
37160,1
37180,1
37181,1
37204,1
37229,1
37236,1
37252,1
37254,1
37255,1
37281,1
37282,1
37287,1
37319,1
37321,1
37323,1
37325,1
37341,1
37350,1
37355,1
37381,1
37400,1
37411,1
37413,1
37445,1
37446,1
37471,1
37472,1
37501,1
37502,1
37505,1
37531,1
37586,1
37849,1
37853,1
37856,1
37861,1
37871,1
37880,1
37883,1
38013,1
38018,1
38021,1
38025,1
38026,1
38030,1
38031,1
38032,1
38035,1
38049,1
38050,1
38051,1
38058,1
38059,1
38062,1
38067,1
38068,1
38069,1
38073,1
38074,1
38078,1
38082,1
38083,1
38084,1
38085,1
38840,1
38937,1
39136,1
39137,1
39158,1
39159,1
39160,1
39161,1
39181,1
39182,1
39206,1
39211,1
39235,1
39255,1
39259,1
39281,1
39282,1
39304,1
39305,1
39321,1
39340,1
39360,1
39361,1
39405,1
39424,1
39432,1
39444,1
39877,1
39878,1
39879,1
39880,1
39894,1
39895,1
39898,1
39899,1
39900,1
39901,1
39902,1
39904,1
39905,1
39914,1
39918,1
39919,1
39920,1
39921,1
39922,1
39931,1
39943,1
39945,1
39950,1
39951,1
39972,1
39973,1
39974,1
39976,1
39984,1
39985,1
39986,1
39987,1
39988,1
40016,1
40017,1
40018,1
40019,1
40049,1
40050,1
40053,1
40063,1
40064,1
40073,1
40083,1
40084,1
40085,1
40089,1
40096,1
40099,1
40100,1
40101,1
40115,1
40117,1
40118,1
40131,1
40151,1
40152,1
40155,1
40168,1
40169,1
40174,1
40181,1
40182,1
40183,1
40191,1
40192,1
40193,1
40194,1
40207,1
40208,1
40210,1
40212,1
40247,1
40253,1
40260,1
40265,1
40267,1
40268,1
40365,1
40366,1
40407,1
40420,1
40452,1
40462,1
40479,1
40480,1
40489,1
40503,1
40504,1
40506,1
40518,1
40530,1
40531,1
40537,1
40542,1
40555,1
40559,1
40566,1
40581,1
40629,1
40646,1
40667,1
40886,1
41056,1
41297,1
41459,1
42127,1
42128,1
42129,1
42130,1
42135,1
42136,1
42137,1
42138,1
42139,1
42140,1
42141,1
42144,1
42146,1
42147,1
42148,1
42149,1
42150,1
42151,1
42152,1
42153,1
42154,1
42155,1
42156,1
42158,1
42159,1
42160,1
42161,1
42162,1
42163,1
42164,1
42165,1
42166,1
42167,1
42168,1
42172,1
42173,1
42174,1
42176,1
42177,1
42178,1
42179,1
42180,1
42181,1
42183,1
42186,1
42187,1
42188,1
42189,1
42190,1
42192,1
42209,1
42214,1
42219,1
42220,1
42227,1
42233,1
42276,1
42277,1
42386,1
42387,1
42388,1
42389,1
42390,1
42391,1
42392,1
42393,1
42397,1
42398,1
42399,1
42400,1
42401,1
42403,1
42404,1
42409,1
42468,1
42469,1
42471,1
42472,1
42473,1
42474,1
42475,1
42476,1
42477,1
42479,1
42482,1
42483,1
42485,1
42486,1
42487,1
42488,1
42489,1
42497,1
42501,1
42503,1
42505,1
42506,1
42509,1
42510,1
42511,1
42512,1
42515,1
42533,1
42535,1
42536,1
42644,1
42777,1
42778,1
42779,1
42798,1
42799,1
42800,1
42811,1
42815,1
42823,1
42824,1
42825,1
42836,1
42837,1
42838,1
42839,1
42840,1
42846,1
42847,1
42848,1
42851,1
42856,1
42857,1
42858,1
42859,1
42865,1
42866,1
42868,1
42869,1
42975,1
42980,1
43233,1
43234,1
43587,1
43588,1
43590,1
43750,1
43775,1
43790,1
43807,1
43808,1
43821,1
43822,1
43839,1
43840,1
43841,1
43853,1
43889,1
43921,1
43923,1
43960,1
44000,1
44211,1
44251,1
44336,1
44380,1
44381,1
44412,1
44419,1
44450,1
44451,1
44453,1
44454,1
44455,1
44490,1
44491,1
44493,1
44524,1
44553,1
44560,1
44563,1
44580,1
44583,1
44605,1
44611,1
44627,1
44661,1
44662,1
44676,1
44677,1
44678,1
44679,1
44683,1
44692,1
44693,1
44695,1
44707,1
44709,1
44710,1
44712,1
44725,1
44740,1
44759,1
44763,1
44765,1
44769,1
44776,1
44778,1
44780,1
44781,1
44784,1
44792,1
44798,1
44804,1
44881,1
44892,1
44895,1
45157,1
45159,1
45160,1
45161,1
45162,1
45163,1
45164,1
45165,1
45206,1
45207,1
45208,1
45215,1
45218,1
45259,1
45279,1
45280,1
45289,1
45290,1
45295,1
45308,1
45311,1
45313,1
45323,1
45325,1
45327,1
45331,1
45341,1
45343,1
45348,1
45349,1
45351,1
45353,1
45354,1
45355,1
45356,1
45357,1
45359,1
45362,1
45363,1
45393,1
45394,1
45395,1
45396,1
45397,1
45401,1
45402,1
45403,1
45404,1
45405,1
45406,1
45407,1
45408,1
45409,1
45410,1
45411,1
45412,1
45413,1
45414,1
45416,1
45417,1
45418,1
45419,1
45420,1
45422,1
45423,1
45429,1
45430,1
45431,1
45432,1
45434,1
45435,1
45436,1
45784,1
45826,1
45827,1
45828,1
45869,1
45870,1
45871,1
45872,1
45873,1
45912,1
45913,1
45914,1
45915,1
45916,1
45917,1
45918,1
45956,1
45957,1
45958,1
45959,1
45960,1
45961,1
45962,1
45963,1
45964,1
45965,1
45966,1
45967,1
45968,1
45998,1
45999,1
46000,1
46001,1
46002,1
46003,1
46004,1
46005,1
46006,1
46007,1
46008,1
46009,1
46010,1
46042,1
46043,1
46044,1
46045,1
46046,1
46047,1
46048,1
46049,1
46050,1
46051,1
46052,1
46053,1
46056,1
46057,1
46088,1
46089,1
46090,1
46091,1
46092,1
46093,1
46094,1
46095,1
46096,1
46097,1
46098,1
46099,1
46100,1
46103,1
46104,1
46105,1
46106,1
46140,1
46141,1
46142,1
46143,1
46144,1
46145,1
46146,1
46147,1
46148,1
46149,1
46150,1
46151,1
46155,1
46156,1
46157,1
46158,1
46164,1
46191,1
46193,1
46194,1
46195,1
46196,1
46197,1
46198,1
46199,1
46200,1
46204,1
46207,1
46208,1
46209,1
46214,1
46243,1
46244,1
46245,1
46246,1
46247,1
46248,1
46251,1
46252,1
46253,1
46254,1
46286,1
46287,1
46289,1
46290,1
46291,1
46292,1
46293,1
46294,1
46295,1
46296,1
46332,1
46334,1
46335,1
46336,1
46337,1
46338,1
46339,1
46376,1
46377,1
46378,1
46379,1
46380,1
46422,1
46423,1
46424,1
46425,1
46659,1
46803,1
46847,1
46848,1
46849,1
46850,1
46853,1
46887,1
46888,1
46889,1
46890,1
46893,1
46894,1
46895,1
46921,1
46922,1
46923,1
46924,1
46925,1
46926,1
46927,1
46929,1
46930,1
46932,1
46954,1
46955,1
46956,1
46957,1
46958,1
46959,1
46960,1
46961,1
46962,1
46964,1
46966,1
46967,1
46968,1
46969,1
46971,1
46992,1
46993,1
46994,1
46995,1
46996,1
46997,1
46998,1
46999,1
47000,1
47001,1
47002,1
47003,1
47004,1
47005,1
47029,1
47030,1
47031,1
47032,1
47033,1
47034,1
47035,1
47036,1
47037,1
47038,1
47039,1
47067,1
47068,1
47069,1
47070,1
47071,1
47072,1
47073,1
47074,1
