cpa_id,cluster
252,1
296,1
431,1
520,1
529,1
604,1
655,1
718,1
726,1
761,1
772,1
5629,1
5643,1
10969,1
11052,1
11053,1
11064,1
11136,1
11170,1
11190,1
11294,1
11341,1
11360,1
11361,1
11421,1
11445,1
11503,1
11523,1
11626,1
11631,1
11702,1
11710,1
11722,1
11741,1
11747,1
11757,1
11777,1
11778,1
11804,1
11823,1
11833,1
11848,1
11854,1
11889,1
11904,1
11907,1
11954,1
11981,1
11994,1
12007,1
12022,1
12041,1
12067,1
12161,1
12163,1
12174,1
304,2
309,2
326,2
356,2
386,2
387,2
413,2
455,2
470,2
474,2
475,2
498,2
500,2
538,2
540,2
544,2
549,2
550,2
552,2
560,2
564,2
566,2
573,2
599,2
600,2
611,2
622,2
626,2
644,2
675,2
689,2
696,2
703,2
708,2
710,2
739,2
773,2
777,2
790,2
793,2
878,2
903,2
1001,2
1765,2
2048,2
11151,2
11641,2
11814,2
11840,2
11861,2
11885,2
11953,2
12024,2
12083,2
12114,2
18964,2
19117,2
