key_timestamp,eio_sid,event,worker_recv_timestamp,worker_before_process_timestamp,worker_after_process_timestamp,worker_send_timestamp,before_encode_timestamp,after_encode_timestamp,size,before_lz4_encode_timestamp,after_lz4_encode_timestamp,before_send_timestamp,after_send_timestamp
6462314008244230,_w-UuvaNp-4aAR7EAAAA,image_h264,0,0,0,0,6462314019807297,6462314030961472,153552,0,0,6462314031033032,6462314031115991
6462314036577839,_w-UuvaNp-4aAR7EAAAA,image_h264,0,0,0,0,6462314036602698,6462314044877219,18805,0,0,6462314044935644,6462314045015769
6462314073017431,_w-UuvaNp-4aAR7EAAAA,image_h264,0,0,0,0,6462314073037945,6462314082111610,26708,0,0,6462314082170492,6462314082246383
6462314112976128,_w-UuvaNp-4aAR7EAAAA,image_h264,0,0,0,0,6462314112993554,6462314120976986,32097,0,0,6462314121056878,6462314121172145
6462314152933017,_w-UuvaNp-4aAR7EAAAA,image_h264,0,0,0,0,6462314152952695,6462314162487518,38026,0,0,6462314162543097,6462314162621487
6462314192679298,_w-UuvaNp-4aAR7EAAAA,image_h264,0,0,0,0,6462314192697352,6462314199738403,38587,0,0,6462314199796455,6462314199880724
6462314232845144,_w-UuvaNp-4aAR7EAAAA,image_h264,0,0,0,0,6462314232865150,6462314241156422,34795,0,0,6462314241214435,6462314241292582
6462314272635771,_w-UuvaNp-4aAR7EAAAA,image_h264,0,0,0,0,6462314272652374,6462314279636808,40398,0,0,6462314279693301,6462314279773081
6462314313178567,_w-UuvaNp-4aAR7EAAAA,image_h264,0,0,0,0,6462314313203195,6462314325467667,34906,0,0,6462314325585557,6462314325729757
6462314353178631,_w-UuvaNp-4aAR7EAAAA,image_h264,0,0,0,0,6462314353204174,6462314362238062,34286,0,0,6462314362298008,6462314362371786
6462314392659475,_w-UuvaNp-4aAR7EAAAA,image_h264,0,0,0,0,6462314392677581,6462314399623708,45408,0,0,6462314399681194,6462314399753160
6462314432606349,_w-UuvaNp-4aAR7EAAAA,image_h264,0,0,0,0,6462314432622268,6462314439385655,37899,0,0,6462314439442995,6462314439517649
6462314472603525,_w-UuvaNp-4aAR7EAAAA,image_h264,0,0,0,0,6462314472621253,6462314479628079,36386,0,0,6462314479687571,6462314479761244
6462314512639924,_w-UuvaNp-4aAR7EAAAA,image_h264,0,0,0,0,6462314512656676,6462314519707884,36025,0,0,6462314519766027,6462314519909567
6462314552576119,_w-UuvaNp-4aAR7EAAAA,image_h264,0,0,0,0,6462314552591914,6462314559570957,40183,0,0,6462314559649580,6462314559749565
6462314592675958,_w-UuvaNp-4aAR7EAAAA,image_h264,0,0,0,0,6462314592694044,6462314601459577,37756,0,0,6462314601539309,6462314601651635
6462314632980736,_w-UuvaNp-4aAR7EAAAA,image_h264,0,0,0,0,6462314633003156,6462314642141038,38374,0,0,6462314642200655,6462314642276520
6462314673091638,_w-UuvaNp-4aAR7EAAAA,image_h264,0,0,0,0,6462314673113838,6462314683089655,37686,0,0,6462314683170451,6462314683284454
6462314712952915,_w-UuvaNp-4aAR7EAAAA,image_h264,0,0,0,0,6462314712975538,6462314722681352,36525,0,0,6462314722766965,6462314722878354
6462314752705776,_w-UuvaNp-4aAR7EAAAA,image_h264,0,0,0,0,6462314752723794,6462314759964375,38506,0,0,6462314760048603,6462314760133885
6462314792677172,_w-UuvaNp-4aAR7EAAAA,image_h264,0,0,0,0,6462314792694830,6462314799769441,37780,0,0,6462314799842219,6462314799942081
6462314832551387,_w-UuvaNp-4aAR7EAAAA,image_h264,0,0,0,0,6462314832567399,6462314839554901,35291,0,0,6462314839611284,6462314839683028
6462314872631254,_w-UuvaNp-4aAR7EAAAA,image_h264,0,0,0,0,6462314872651944,6462314879699584,39083,0,0,6462314879771765,6462314879867793
6462314912569121,_w-UuvaNp-4aAR7EAAAA,image_h264,0,0,0,0,6462314912585131,6462314919587104,34408,0,0,6462314919665177,6462314919760643
6462314953416328,_w-UuvaNp-4aAR7EAAAA,image_h264,0,0,0,0,6462314953434375,6462314961253810,39639,0,0,6462314961331282,6462314961435151
6462314992573635,_w-UuvaNp-4aAR7EAAAA,image_h264,0,0,0,0,6462314992589934,6462314999917508,36791,0,0,6462314999990628,6462315000106205
6462315032605880,_w-UuvaNp-4aAR7EAAAA,image_h264,0,0,0,0,6462315032622799,6462315039582044,37076,0,0,6462315039642424,6462315039715270
6462315072617020,_w-UuvaNp-4aAR7EAAAA,image_h264,0,0,0,0,6462315072633375,6462315080337983,42134,0,0,6462315080392767,6462315080472790
6462315112990199,_w-UuvaNp-4aAR7EAAAA,image_h264,0,0,0,0,6462315113011380,6462315121100363,37470,0,0,6462315121182742,6462315121284217
6462315152822307,_w-UuvaNp-4aAR7EAAAA,image_h264,0,0,0,0,6462315152841839,6462315161068692,39021,0,0,6462315161124962,6462315161198653
6462315192647601,_w-UuvaNp-4aAR7EAAAA,image_h264,0,0,0,0,6462315192663891,6462315199726981,37913,0,0,6462315199801230,6462315199904112
6462315232952617,_w-UuvaNp-4aAR7EAAAA,image_h264,0,0,0,0,6462315232974962,6462315241498996,37876,0,0,6462315241581792,6462315241700076
6462315272789252,_w-UuvaNp-4aAR7EAAAA,image_h264,0,0,0,0,6462315272808905,6462315281695857,36612,0,0,6462315281764465,6462315281860983
6462315312566820,_w-UuvaNp-4aAR7EAAAA,image_h264,0,0,0,0,6462315312582727,6462315319914466,36344,0,0,6462315319985157,6462315320097343
6462315352624194,_w-UuvaNp-4aAR7EAAAA,image_h264,0,0,0,0,6462315352640690,6462315360233967,34921,0,0,6462315360292547,6462315360364117
6462315392614745,_w-UuvaNp-4aAR7EAAAA,image_h264,0,0,0,0,6462315392631180,6462315401519890,38317,0,0,6462315401603390,6462315401720424
6462315432944472,_w-UuvaNp-4aAR7EAAAA,image_h264,0,0,0,0,6462315432967183,6462315441303713,36647,0,0,6462315441363296,6462315441438847
6462315473219258,_w-UuvaNp-4aAR7EAAAA,image_h264,0,0,0,0,6462315473242820,6462315482183731,43423,0,0,6462315482269751,6462315482378832
6462315512950089,_w-UuvaNp-4aAR7EAAAA,image_h264,0,0,0,0,6462315512968689,6462315521177991,37082,0,0,6462315521259986,6462315521368858
6462315553270020,_w-UuvaNp-4aAR7EAAAA,image_h264,0,0,0,0,6462315553296692,6462315562985110,38406,0,0,6462315563074500,6462315563189413
6462315592661309,_w-UuvaNp-4aAR7EAAAA,image_h264,0,0,0,0,6462315592678885,6462315602243141,52261,0,0,6462315602311073,6462315602394076
6462315632613243,_w-UuvaNp-4aAR7EAAAA,image_h264,0,0,0,0,6462315632631046,6462315639914998,42284,0,0,6462315639974249,6462315640063880
6462315672510047,_w-UuvaNp-4aAR7EAAAA,image_h264,0,0,0,0,6462315672524144,6462315679831577,39011,0,0,6462315679901469,6462315679997669
6462315713920727,_w-UuvaNp-4aAR7EAAAA,image_h264,0,0,0,0,6462315713947226,6462315726592145,37242,0,0,6462315726668679,6462315726768315
6462315752807643,_w-UuvaNp-4aAR7EAAAA,image_h264,0,0,0,0,6462315752824480,6462315760862565,40817,0,0,6462315760932411,6462315761022508
6462315792806560,_w-UuvaNp-4aAR7EAAAA,image_h264,0,0,0,0,6462315792825352,6462315800412136,38622,0,0,6462315800470693,6462315800545453
6462315832644476,_w-UuvaNp-4aAR7EAAAA,image_h264,0,0,0,0,6462315832666045,6462315840816777,44628,0,0,6462315840881814,6462315840957586
6462315873137899,_w-UuvaNp-4aAR7EAAAA,image_h264,0,0,0,0,6462315873162116,6462315884777450,38361,0,0,6462315884854834,6462315884961068
6462315913236917,_w-UuvaNp-4aAR7EAAAA,image_h264,0,0,0,0,6462315913260739,6462315922823548,39385,0,0,6462315922905723,6462315923012642
6462315952939338,_w-UuvaNp-4aAR7EAAAA,image_h264,0,0,0,0,6462315952960691,6462315961640038,37899,0,0,6462315961718512,6462315961821704
6462315993466708,_w-UuvaNp-4aAR7EAAAA,image_h264,0,0,0,0,6462315993488689,6462316002331333,43912,0,0,6462316002414828,6462316002519646
6462316033112689,_w-UuvaNp-4aAR7EAAAA,image_h264,0,0,0,0,6462316033136486,6462316042026671,39762,0,0,6462316042086546,6462316042168212
6462316072709472,_w-UuvaNp-4aAR7EAAAA,image_h264,0,0,0,0,6462316072726871,6462316080148736,39820,0,0,6462316080213219,6462316080290418
6462316112670145,_w-UuvaNp-4aAR7EAAAA,image_h264,0,0,0,0,6462316112686313,6462316120014212,37539,0,0,6462316120078150,6462316120159767
6462316152648665,_w-UuvaNp-4aAR7EAAAA,image_h264,0,0,0,0,6462316152666167,6462316159641601,44016,0,0,6462316159712951,6462316159816231
6462316193085157,_w-UuvaNp-4aAR7EAAAA,image_h264,0,0,0,0,6462316193107110,6462316204086595,40277,0,0,6462316204225621,6462316204321264
6462316232585304,_w-UuvaNp-4aAR7EAAAA,image_h264,0,0,0,0,6462316232601794,6462316239123466,42168,0,0,6462316239179805,6462316239258182
6462316272611650,_w-UuvaNp-4aAR7EAAAA,image_h264,0,0,0,0,6462316272627021,6462316280019482,39383,0,0,6462316280086207,6462316280167797
6462316312777724,_w-UuvaNp-4aAR7EAAAA,image_h264,0,0,0,0,6462316312798054,6462316320807787,45554,0,0,6462316320866163,6462316320939438
6462316352778880,_w-UuvaNp-4aAR7EAAAA,image_h264,0,0,0,0,6462316352796089,6462316360588821,41778,0,0,6462316360662167,6462316360761948
6462316392989726,_w-UuvaNp-4aAR7EAAAA,image_h264,0,0,0,0,6462316393007684,6462316400232940,40957,0,0,6462316400291977,6462316400365626
6462316432722674,_w-UuvaNp-4aAR7EAAAA,image_h264,0,0,0,0,6462316432739804,6462316439740172,45975,0,0,6462316439815819,6462316439913711
6462316472776359,_w-UuvaNp-4aAR7EAAAA,image_h264,0,0,0,0,6462316472795681,6462316480837026,42066,0,0,6462316480896620,6462316480970497
6462316512628461,_w-UuvaNp-4aAR7EAAAA,image_h264,0,0,0,0,6462316512644503,6462316522999047,42705,0,0,6462316523066014,6462316523150474
6462316552623127,_w-UuvaNp-4aAR7EAAAA,image_h264,0,0,0,0,6462316552640333,6462316560121756,40756,0,0,6462316560198468,6462316560304888
6462316592781060,_w-UuvaNp-4aAR7EAAAA,image_h264,0,0,0,0,6462316592798443,6462316599952597,37469,0,0,6462316600056205,6462316600159284
6462316632774011,_w-UuvaNp-4aAR7EAAAA,image_h264,0,0,0,0,6462316632792450,6462316640997528,36134,0,0,6462316641078071,6462316641178240
6462316672992531,_w-UuvaNp-4aAR7EAAAA,image_h264,0,0,0,0,6462316673014256,6462316681843228,39232,0,0,6462316681924462,6462316682028766
